ID,USERID,NOME,EXPERIENCIA,ALG_02,BASE_ALG_02,DEC_02,BASE_DEC_02,REC_02,BASE_REC_02,ABS_02,BASE_ABS_02,TOTAL_ATIVIDADE_02,A atividade foi muito bem organizada.,O professor era muito bem informado sobre o assunto que ensinava.,O professor era muito bom na comunicação.,O professor foi motivador e entusiasta.,"Por favor, indique as três coisas que você mais gostou na aula e por quê?","Por favor, indique as três coisas que você não gostou na aula e por quê?",Quais as bases do Pensamento Computacional você usou na atividade? E por quê?,Qual foi a coisa mais importante que você aprendeu com essa aula?,Você acha que as lições da aula serão úteis para o crescimento de sua carreira? Por quê?,Você tem algum comentário ou sugestão para ajudar a melhorar essa aula?
aluno 11,35,aluno 11,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 12,36,aluno 12,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,Nada a declarar.,Nada a declarar.,"Todas, uma vez que são de suma importância e, inevitavelmente, inerentes ao que vem a ser um algoritmo propriamente dito.",Como estruturar o PC na construção de um algoritmo.,"Sim. Dominar o básico do cenário de programador é obrigatório, então praticar ela foi importante para um primeiro contato e preparo para os futuros.",Nada a declarar.
aluno 13,34,aluno 13,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 14,48,aluno 14,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 15,53,aluno 15,1,P,1.25,S,2.5,S,2.5,S,2.5,8.75,,,,,,,,,,
aluno 16,45,aluno 16,1,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,
aluno 17,39,aluno 17,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,"Introdução de conceitos iniciais, didática e reflexão sobre a abstração",tudo ok,abstração e alogorítimos,"sintaxe e semântica do código. Apesar de eu já saber programar, as vezes esses conceitos passam batidos.",Sim. Toda edificação parte de um alicerce firme.,conseguir um espaço maior para nossa turma.
aluno 18,38,aluno 18,4,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,"Didática, paciência e comunicação do professor.",Gostei de tudo.,Abstração e decomposição,Aplicação eficiente da abstração e da decomposição.,Sim.,não.
aluno 19,54,aluno 19,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 20,30,aluno 20,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,"Ver os passos pra criar um algoritmo, como escrever e como criar variáveis","Os slides eram um pouco ruins de ler, a aula pareceu rápida, tive dificuldade pra entender os conceitos","Selecionar principais informações do problema, porque sabendo quais eram fica mais fácil encontrar a solução.",A estrutura de um código e como monta-lo,"Com certeza, serviu como base para resolução de muitas questões",Utilização de slides melhores de ver
aluno 21,22,aluno 21,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 22,49,aluno 22,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,4.0,5.0,"A dinâmica, assunto, é a plataforma.","A velocidade da aula(achei um pouco rápido), o ambiente.","Padronizacoa e Decomposição, eu peguei um padrão para fazer as atividades e fiz a decomposição do problema.",A observar um problema e analisar todos os problemas para achar uma solução.,"Sim, estão me dando uma base para conseguir me desenvolver.",No momento não.
aluno 24,44,aluno 24,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,4.0,4.0,"A interação de uma coisa do dia a dia com a programação, o passo a passo de cada coisa e a interação entre aluno e professor. Essas três coisas me chamaram atenção porque primeiro deve haver o contato com a programação de forma simples como fazer uma receita por exemplo, outro ponto é que ensinar de forma que todos compreendam é muito importante tanto para o aluno quanto para o professor.","Não à motivação, aula padronizada e falta da diversidade de plataformas. A motivação no caso seria equivalente ao dinamismo, não à uma forma mais descontraída de aplicar a matéria para que não se torne uma aula monótona, aula padronizada seria sempre o mesmo padrão de ensinamento:aula, atividade em sala e exercícios. Falar de diversidade de plataformas seriam: quizes, outros aplicativos de programação, vídeos...","Decomposição, padronização e algoritmo. A decomposição por conta da divisão das etapas, dentro da receita haviam etapas que foram divididas em etapas menores, a padronização vi que havia um padrão parecido com outros códigos, e o algoritmo onde pode desenvolver o programa.","Que dá para fazer um código com qualquer coisa, e que utilizamos o pensamento computacional constantemente.","Sim, porque vou usar o pensamento computacional constantemente na minha carreira.",Não tenho nenhuma sugestão até o momento.
aluno 25,46,aluno 25,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,"O que mais gostei na atividade foi que aprendi um pouco sobre a base da programação, aprendi para que serve certos símbolo e sinais.",não tem. ada em especifico que eu não tenha gostado.,"Abstração para saber as coisa essenciais para o programa, Decomposição para dividir o problema em partes menores, Algoritmos para solucionar o problema.",A base da programação e para que serve alguns sinais e símbolos.,"Sim, pq acho que vai me ajudar no meu desenvolvimento principalmente pelo fato de que antes eu não tive nenhum contato com programação, e essas lições ajudam muito.",not
aluno 26,51,aluno 26,1,S,2.5,P,1.25,S,2.5,S,2.5,8.75,,,,,,,,,,
aluno 27,57,aluno 27,4,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 28,27,aluno 28,1,P,1.25,S,2.5,S,2.5,S,2.5,8.75,,,,,,,,,,
aluno 29,60,aluno 29,1,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,,
aluno 30,21,aluno 30,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,4.0,5.0,5.0,4.0,"Conhecer um aspirador robô, porque é legal; conhecer as bases do fundamento computacional, provavelmente vai ajudar.","Instruções não suficientemente claras, achei que era apenas pra escrever um algoritmo.",,Não complicar o problema (eu juro que passei metade do tempo decidindo que nome dar pras variáveis).,"Sim, porque prática é importante.",Não.
aluno 31,18,aluno 31,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 32,23,aluno 32,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 33,29,aluno 33,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 34,31,aluno 34,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 35,37,aluno 35,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,"A base que as atividades trouxeram foi importante para desenvolver o raciocínio de computacional. Eu gostei de fazer a receita por ser divertido , gostei da didática do professor e também gostei de poder escolher minha receita","Eu gostaria que tivesse mais ainda atividade de programação, mas não desgostei de nada","Decomposição para dividir o problema em problemas menores, usei abstração para usar só o que eu precisava, também usei o reconhecimento de padrões para identificar o que eu precisa e por fim, fiz o ""algoritmo""","Aprendi que o pensamento computacioonal é usado diariamente, mesmo que a gente não perceba as vezes","Sim. Pois ali é aprendido que o pensamento computacioonal sempre vai ser usado para resolver os problemas, é que independentemente do problema, precisamos ir decompondo ele até achar a solução",A aula já é ótima. Mas eu gostaria de Ir mais no laboratório 🤝😎
aluno 36,47,aluno 36,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,4.0,5.0,4.0,5.0,"Didática, motivacional, e comida. Nada a declarar.",Falta de ideias e esclarecimento.,Programação.,Introdução a linguagem computacional.,"Sim, pois servem de base para conhecimentos futuros.",Não
aluno 37,42,aluno 37,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,4.0,4.0,"A organização da turma,a paciência do professor na hora de anotar as informações e os slides.",Só achei que faltou um pouco de clareza no objetivo da atividade a princípio.,Usei apenas a organização de linhas.,A entender como funciona as linhas de códigos.,"Sim,elas me ajudaram a entender como seria a montagem de algoritmos.",Não.
aluno 38,52,aluno 38,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0,,,,,,,,,,
aluno 39,28,aluno 39,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0,5.0,5.0,5.0,5.0,"fazer um ""codigo"" pela primeira mesmo que nao tenha sido um real foi bem legal","as funções, não faziam muito sentido pra mim","o algoritmo, decomposição de problemas",a estrutura de um código,"sim, serviu bastante como uma base de como seria um código já que eu não tinha visto praticamente nada sobre programação","A parte das funções eu não peguei de direito no começo porque não faziam muito sentido pra mim por exeplo a ""misturar"", ""montar"" e etc. Mas depois de fazer na prática um código de verdade da pra entender"
