USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,DATEGRADED,GRADE,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,NOME_ALUNO,ID_alunos,NAME
40,98,19354,1683600965,,1685582334,400.000,2023-05-09 02:56:05,2023-06-01 01:18:54,4.0,23,aluno 09,98,Meu Primeiro Projeto
41,98,18870,1683593805,,1685583033,1.000.000,2023-05-09 00:56:45,2023-06-01 01:30:33,10.0,44,aluno 03,98,Meu Primeiro Projeto
42,98,18832,1683593454,,1685560863,700.000,2023-05-09 00:50:54,2023-05-31 19:21:03,7.0,29,aluno 36,98,Meu Primeiro Projeto
43,98,18539,1683590186,,1685581634,800.000,2023-05-08 23:56:26,2023-06-01 01:07:14,8.0,54,aluno 07,98,Meu Primeiro Projeto
44,98,19067,1683596918,,1685558978,1.000.000,2023-05-09 01:48:38,2023-05-31 18:49:38,10.0,57,aluno 23,98,Meu Primeiro Projeto
45,98,26695,1685578234,"Enviado por Administrador Usuário
",1685578516,600.000,2023-06-01 00:10:34,2023-06-01 00:15:16,6.0,69,aluno 16,98,Meu Primeiro Projeto
46,98,18690,1683592071,,1685557497,800.000,2023-05-09 00:27:51,2023-05-31 18:24:57,8.0,37,aluno 24,98,Meu Primeiro Projeto
47,98,18189,1683581060,,1685576173,400.000,2023-05-08 21:24:20,2023-05-31 23:36:13,4.0,38,aluno 35,98,Meu Primeiro Projeto
48,98,18990,1683595419,,1685580241,900.000,2023-05-09 01:23:39,2023-06-01 00:44:01,9.0,69,aluno 14,98,Meu Primeiro Projeto
49,98,19363,1683601100,,1685581216,1.000.000,2023-05-09 02:58:20,2023-06-01 01:00:16,10.0,62,aluno 22,98,Meu Primeiro Projeto
50,98,17607,1683568248,,1685582919,1.000.000,2023-05-08 17:50:48,2023-06-01 01:28:39,10.0,20,aluno 10,98,Meu Primeiro Projeto
51,98,26691,1685559547,"Enviado por Administrador Usuário
Atividade avaliativa entregue e comentada com desafio concluído",1685559866,1.000.000,2023-05-31 18:59:07,2023-05-31 19:04:26,10.0,82,aluno 25,98,Meu Primeiro Projeto
52,98,19022,1683595843,,1683595849,0,2023-05-09 01:30:43,2023-05-09 01:30:49,0.0,5,aluno 37,98,Meu Primeiro Projeto
54,98,19241,1683599668,,1685579346,1.000.000,2023-05-09 02:34:28,2023-06-01 00:29:06,10.0,52,aluno 19,98,Meu Primeiro Projeto
56,98,17740,1683568859,,1685582479,800.000,2023-05-08 18:00:59,2023-06-01 01:21:19,8.0,13,aluno 02,98,Meu Primeiro Projeto
57,98,19294,1683600153,,1685578122,1.000.000,2023-05-09 02:42:33,2023-06-01 00:08:42,10.0,107,aluno 26,98,Meu Primeiro Projeto
60,98,19238,1683599657,,1685580580,800.000,2023-05-09 02:34:17,2023-06-01 00:49:40,8.0,105,aluno 28,98,Meu Primeiro Projeto
63,98,19207,1683599193,,1685620302,700.000,2023-05-09 02:26:33,2023-06-01 11:51:42,7.0,66,aluno 01,98,Meu Primeiro Projeto
65,98,19303,1683600278,,1685581852,200.000,2023-05-09 02:44:38,2023-06-01 01:10:52,2.0,105,aluno 08,98,Meu Primeiro Projeto
