ID,VPL,USERID,DATESSUBMITTED,COMMENTS,GRADER,DATEGRADED,GRADE,MAILED,HIGHLIGHT,NEVALUATIONS,GROUPID,DATA_ENVIO,DATA_AVALIACAO,NOTA
8286,84,51,1682345789,,0,1682345793,1.000.000,0,0,1,0,2023-04-24 14:16:29,2023-04-24 14:16:33,10.0
8287,85,51,1682346018,,0,1682346034,1.000.000,0,0,1,0,2023-04-24 14:20:18,2023-04-24 14:20:34,10.0
8290,86,51,1682346449,,0,1682346458,0,0,0,1,0,2023-04-24 14:27:29,2023-04-24 14:27:38,0.0
8291,86,51,1682346527,,0,1682346560,1.000.000,0,0,2,0,2023-04-24 14:28:47,2023-04-24 14:29:20,10.0
8292,79,26,1682346700,,0,1682346705,1.000.000,0,0,1,0,2023-04-24 14:31:40,2023-04-24 14:31:45,10.0
8294,87,51,1682347201,,0,0,,0,0,0,0,2023-04-24 14:40:01,1970-01-01 00:00:00,
8297,87,51,1682347256,,0,1682347263,667.000,0,0,1,0,2023-04-24 14:40:56,2023-04-24 14:41:03,6.67
8301,87,51,1682347600,,0,0,,0,0,1,0,2023-04-24 14:46:40,1970-01-01 00:00:00,
8302,87,51,1682347719,,0,0,,0,0,1,0,2023-04-24 14:48:39,1970-01-01 00:00:00,
8304,87,51,1682347755,,0,1682347760,1.000.000,0,0,3,0,2023-04-24 14:49:15,2023-04-24 14:49:20,10.0
8306,88,51,1682348061,,0,1682348067,0,0,0,1,0,2023-04-24 14:54:21,2023-04-24 14:54:27,0.0
8307,88,51,1682348076,,0,1682348080,0,0,0,2,0,2023-04-24 14:54:36,2023-04-24 14:54:40,0.0
8308,88,51,1682348131,,0,1682349817,500.000,0,0,3,0,2023-04-24 14:55:31,2023-04-24 15:23:37,5.0
8309,79,18,1682349706,,0,0,,0,0,0,0,2023-04-24 15:21:46,1970-01-01 00:00:00,
8311,79,18,1682349747,,0,0,,0,0,0,0,2023-04-24 15:22:27,1970-01-01 00:00:00,
8312,79,18,1682349802,,0,0,,0,0,0,0,2023-04-24 15:23:22,1970-01-01 00:00:00,
8313,88,51,1682349859,,0,1682349872,1.000.000,0,0,4,0,2023-04-24 15:24:19,2023-04-24 15:24:32,10.0
8314,80,41,1682350138,,0,0,,0,0,0,0,2023-04-24 15:28:58,1970-01-01 00:00:00,
8315,80,41,1682350170,,0,1682350203,0,0,0,1,0,2023-04-24 15:29:30,2023-04-24 15:30:03,0.0
8316,80,41,1682350489,,0,1682350505,0,0,0,2,0,2023-04-24 15:34:49,2023-04-24 15:35:05,0.0
8317,80,41,1682350533,,0,1682354303,0,0,0,3,0,2023-04-24 15:35:33,2023-04-24 16:38:23,0.0
8318,80,26,1682353568,,0,0,,0,0,0,0,2023-04-24 16:26:08,1970-01-01 00:00:00,
8319,80,26,1682353619,,0,0,,0,0,0,0,2023-04-24 16:26:59,1970-01-01 00:00:00,
8321,80,26,1682353659,,0,0,,0,0,0,0,2023-04-24 16:27:39,1970-01-01 00:00:00,
8322,80,26,1682353680,,0,1682353699,1.000.000,0,0,1,0,2023-04-24 16:28:00,2023-04-24 16:28:19,10.0
8329,81,26,1682354021,,0,0,,0,0,0,0,2023-04-24 16:33:41,1970-01-01 00:00:00,
8332,81,26,1682354058,,0,1682354083,1.000.000,0,0,1,0,2023-04-24 16:34:18,2023-04-24 16:34:43,10.0
8334,79,23,1682354151,,0,0,,0,0,0,0,2023-04-24 16:35:51,1970-01-01 00:00:00,
8338,79,23,1682354188,,0,0,,0,0,0,0,2023-04-24 16:36:28,1970-01-01 00:00:00,
8340,79,23,1682354215,,0,0,,0,0,0,0,2023-04-24 16:36:55,1970-01-01 00:00:00,
8342,79,18,1682354249,,0,1682354282,667.000,0,0,1,0,2023-04-24 16:37:29,2023-04-24 16:38:02,6.67
8344,79,48,1682354276,,0,0,,0,0,0,0,2023-04-24 16:37:56,1970-01-01 00:00:00,
8345,79,23,1682354282,,0,1682354308,667.000,0,0,1,0,2023-04-24 16:38:02,2023-04-24 16:38:28,6.67
8347,79,48,1682354307,,0,0,,0,0,0,0,2023-04-24 16:38:27,1970-01-01 00:00:00,
8350,79,18,1682354353,,0,0,,0,0,1,0,2023-04-24 16:39:13,1970-01-01 00:00:00,
8353,79,48,1682354365,,0,1682354395,1.000.000,0,0,1,0,2023-04-24 16:39:25,2023-04-24 16:39:55,10.0
8354,79,18,1682354365,,0,0,,0,0,1,0,2023-04-24 16:39:25,1970-01-01 00:00:00,
8356,79,37,1682354371,,0,1682354413,667.000,0,0,1,0,2023-04-24 16:39:31,2023-04-24 16:40:13,6.67
8360,79,23,1682354434,,0,1682354453,667.000,0,0,2,0,2023-04-24 16:40:34,2023-04-24 16:40:53,6.67
8361,79,36,1682354435,,0,0,,0,0,0,0,2023-04-24 16:40:35,1970-01-01 00:00:00,
8362,79,18,1682354438,,0,0,,0,0,1,0,2023-04-24 16:40:38,1970-01-01 00:00:00,
8363,79,37,1682354441,,0,0,,0,0,1,0,2023-04-24 16:40:41,1970-01-01 00:00:00,
8364,79,18,1682354453,,0,0,,0,0,1,0,2023-04-24 16:40:53,1970-01-01 00:00:00,
8366,79,36,1682354479,,0,0,,0,0,0,0,2023-04-24 16:41:19,1970-01-01 00:00:00,
8367,79,23,1682354486,,0,1682354491,667.000,0,0,3,0,2023-04-24 16:41:26,2023-04-24 16:41:31,6.67
8368,79,37,1682354492,,0,1682354504,1.000.000,0,0,2,0,2023-04-24 16:41:32,2023-04-24 16:41:44,10.0
8371,79,36,1682354520,,0,0,,0,0,0,0,2023-04-24 16:42:00,1970-01-01 00:00:00,
8373,79,42,1682354540,,0,0,,0,0,0,0,2023-04-24 16:42:20,1970-01-01 00:00:00,
8375,79,42,1682354565,,0,0,,0,0,0,0,2023-04-24 16:42:45,1970-01-01 00:00:00,
8376,82,26,1682354583,,0,1682354588,500.000,0,0,1,0,2023-04-24 16:43:03,2023-04-24 16:43:08,5.0
8378,79,23,1682354595,,0,1682354624,1.000.000,0,0,4,0,2023-04-24 16:43:15,2023-04-24 16:43:44,10.0
8380,82,26,1682354602,,0,1682354606,500.000,0,0,2,0,2023-04-24 16:43:22,2023-04-24 16:43:26,5.0
8381,80,41,1682354608,,0,1682354611,1.000.000,0,0,4,0,2023-04-24 16:43:28,2023-04-24 16:43:31,10.0
8384,79,42,1682354633,,0,0,,0,0,0,0,2023-04-24 16:43:53,1970-01-01 00:00:00,
8385,79,36,1682354634,,0,0,,0,0,0,0,2023-04-24 16:43:54,1970-01-01 00:00:00,
8389,79,27,1682354640,,0,1682354644,333.000,0,0,1,0,2023-04-24 16:44:00,2023-04-24 16:44:04,3.33
8391,82,26,1682354651,,0,1682354654,1.000.000,0,0,3,0,2023-04-24 16:44:11,2023-04-24 16:44:14,10.0
8392,79,18,1682354662,,0,1682354666,1.000.000,0,0,2,0,2023-04-24 16:44:22,2023-04-24 16:44:26,10.0
8394,79,42,1682354665,,0,1682354691,333.000,0,0,1,0,2023-04-24 16:44:25,2023-04-24 16:44:51,3.33
8395,79,34,1682354677,,0,0,,0,0,0,0,2023-04-24 16:44:37,1970-01-01 00:00:00,
8400,79,34,1682354713,,0,0,,0,0,0,0,2023-04-24 16:45:13,1970-01-01 00:00:00,
8402,79,36,1682354722,,0,0,,0,0,0,0,2023-04-24 16:45:22,1970-01-01 00:00:00,
8403,80,37,1682354731,,0,0,,0,0,0,0,2023-04-24 16:45:31,1970-01-01 00:00:00,
8409,79,27,1682354777,,0,1682354781,667.000,0,0,2,0,2023-04-24 16:46:17,2023-04-24 16:46:21,6.67
8411,79,42,1682354790,,0,1682354824,667.000,0,0,2,0,2023-04-24 16:46:30,2023-04-24 16:47:04,6.67
8412,83,26,1682354796,,0,1682354801,1.000.000,0,0,1,0,2023-04-24 16:46:36,2023-04-24 16:46:41,10.0
8414,79,27,1682354803,,0,0,,0,0,2,0,2023-04-24 16:46:43,1970-01-01 00:00:00,
8416,79,34,1682354816,,0,0,,0,0,0,0,2023-04-24 16:46:56,1970-01-01 00:00:00,
8418,90,51,1682354818,,0,0,,0,0,0,0,2023-04-24 16:46:58,1970-01-01 00:00:00,
8424,90,51,1682354866,,0,0,,0,0,0,0,2023-04-24 16:47:46,1970-01-01 00:00:00,
8426,79,27,1682354875,,0,0,,0,0,2,0,2023-04-24 16:47:55,1970-01-01 00:00:00,
8429,79,34,1682354888,,0,0,,0,0,0,0,2023-04-24 16:48:08,1970-01-01 00:00:00,
8430,80,37,1682354891,,0,0,,0,0,0,0,2023-04-24 16:48:11,1970-01-01 00:00:00,
8431,80,48,1682354892,,0,1682354923,0,0,0,1,0,2023-04-24 16:48:12,2023-04-24 16:48:43,0.0
8433,80,18,1682354893,,0,0,,0,0,0,0,2023-04-24 16:48:13,1970-01-01 00:00:00,
8436,79,34,1682354901,,0,1682354937,1.000.000,0,0,1,0,2023-04-24 16:48:21,2023-04-24 16:48:57,10.0
8437,90,51,1682354904,,0,0,,0,0,0,0,2023-04-24 16:48:24,1970-01-01 00:00:00,
8443,79,27,1682354917,,0,1682354921,667.000,0,0,3,0,2023-04-24 16:48:37,2023-04-24 16:48:41,6.67
8445,80,18,1682354927,,0,0,,0,0,0,0,2023-04-24 16:48:47,1970-01-01 00:00:00,
8446,80,23,1682354934,,0,0,,0,0,0,0,2023-04-24 16:48:54,1970-01-01 00:00:00,
8448,79,42,1682354952,,0,1682354971,1.000.000,0,0,3,0,2023-04-24 16:49:12,2023-04-24 16:49:31,10.0
8451,79,27,1682354969,,0,0,,0,0,3,0,2023-04-24 16:49:29,1970-01-01 00:00:00,
8452,79,35,1682354970,,0,0,,0,0,0,0,2023-04-24 16:49:30,1970-01-01 00:00:00,
8454,80,23,1682354972,,0,0,,0,0,0,0,2023-04-24 16:49:32,1970-01-01 00:00:00,
8455,80,48,1682354975,,0,1682354989,500.000,0,0,2,0,2023-04-24 16:49:35,2023-04-24 16:49:49,5.0
8456,79,35,1682354983,,0,1682355013,333.000,0,0,1,0,2023-04-24 16:49:43,2023-04-24 16:50:13,3.33
8457,79,27,1682354988,,0,1682355000,667.000,0,0,4,0,2023-04-24 16:49:48,2023-04-24 16:50:00,6.67
8460,80,37,1682354999,,0,0,,0,0,0,0,2023-04-24 16:49:59,1970-01-01 00:00:00,
8462,80,18,1682355000,,0,0,,0,0,0,0,2023-04-24 16:50:00,1970-01-01 00:00:00,
8465,80,18,1682355019,,0,1682355038,1.000.000,0,0,1,0,2023-04-24 16:50:19,2023-04-24 16:50:38,10.0
8466,80,23,1682355029,,0,0,,0,0,0,0,2023-04-24 16:50:29,1970-01-01 00:00:00,
8468,81,41,1682355036,,0,1682355138,0,0,0,1,0,2023-04-24 16:50:36,2023-04-24 16:52:18,0.0
8469,80,48,1682355044,,0,1682355081,500.000,0,0,3,0,2023-04-24 16:50:44,2023-04-24 16:51:21,5.0
8470,80,37,1682355044,,0,1682355089,500.000,0,0,1,0,2023-04-24 16:50:44,2023-04-24 16:51:29,5.0
8471,80,23,1682355045,,0,0,,0,0,0,0,2023-04-24 16:50:45,1970-01-01 00:00:00,
8473,79,27,1682355048,,0,1682355055,667.000,0,0,5,0,2023-04-24 16:50:48,2023-04-24 16:50:55,6.67
8474,90,51,1682355056,,0,0,,0,0,0,0,2023-04-24 16:50:56,1970-01-01 00:00:00,
8475,79,36,1682355065,,0,0,,0,0,0,0,2023-04-24 16:51:05,1970-01-01 00:00:00,
8476,79,35,1682355070,,0,1682355075,667.000,0,0,2,0,2023-04-24 16:51:10,2023-04-24 16:51:15,6.67
8482,80,23,1682355120,,0,1682355143,500.000,0,0,1,0,2023-04-24 16:52:00,2023-04-24 16:52:23,5.0
8483,80,48,1682355122,,0,1682355127,500.000,0,0,4,0,2023-04-24 16:52:02,2023-04-24 16:52:07,5.0
8486,79,36,1682355130,,0,0,,0,0,0,0,2023-04-24 16:52:10,1970-01-01 00:00:00,
8487,84,26,1682355130,,0,1682355134,667.000,0,0,1,0,2023-04-24 16:52:10,2023-04-24 16:52:14,6.67
8489,90,51,1682355139,,0,0,,0,0,0,0,2023-04-24 16:52:19,1970-01-01 00:00:00,
8491,79,35,1682355154,,0,1682355157,0,0,0,3,0,2023-04-24 16:52:34,2023-04-24 16:52:37,0.0
8493,80,37,1682355157,,0,0,,0,0,1,0,2023-04-24 16:52:37,1970-01-01 00:00:00,
8494,81,41,1682355159,,0,1682355163,1.000.000,0,0,2,0,2023-04-24 16:52:39,2023-04-24 16:52:43,10.0
8497,90,51,1682355171,,0,0,,0,0,0,0,2023-04-24 16:52:51,1970-01-01 00:00:00,
8499,79,35,1682355186,,0,1682355189,1.000.000,0,0,5,0,2023-04-24 16:53:06,2023-04-24 16:53:09,10.0
8501,80,37,1682355201,,0,1682355243,1.000.000,0,0,2,0,2023-04-24 16:53:21,2023-04-24 16:54:03,10.0
8502,79,60,1682355203,,0,0,,0,0,0,0,2023-04-24 16:53:23,1970-01-01 00:00:00,
8504,84,26,1682355206,,0,1682355210,1.000.000,0,0,2,0,2023-04-24 16:53:26,2023-04-24 16:53:30,10.0
8506,80,48,1682355210,,0,1682355214,500.000,0,0,5,0,2023-04-24 16:53:30,2023-04-24 16:53:34,5.0
8509,79,44,1682355216,,0,0,,0,0,0,0,2023-04-24 16:53:36,1970-01-01 00:00:00,
8511,80,48,1682355237,,0,1682355241,500.000,0,0,6,0,2023-04-24 16:53:57,2023-04-24 16:54:01,5.0
8512,79,38,1682355238,,0,0,,0,0,0,0,2023-04-24 16:53:58,1970-01-01 00:00:00,
8518,81,18,1682355260,,0,0,,0,0,0,0,2023-04-24 16:54:20,1970-01-01 00:00:00,
8519,79,60,1682355262,,0,0,,0,0,0,0,2023-04-24 16:54:22,1970-01-01 00:00:00,
8522,90,51,1682355268,,0,0,,0,0,0,0,2023-04-24 16:54:28,1970-01-01 00:00:00,
8524,79,38,1682355276,,0,0,,0,0,0,0,2023-04-24 16:54:36,1970-01-01 00:00:00,
8527,80,48,1682355288,,0,0,,0,0,6,0,2023-04-24 16:54:48,1970-01-01 00:00:00,
8529,80,48,1682355298,,0,1682355302,500.000,0,0,7,0,2023-04-24 16:54:58,2023-04-24 16:55:02,5.0
8530,90,51,1682355299,,0,0,,0,0,0,0,2023-04-24 16:54:59,1970-01-01 00:00:00,
8533,79,60,1682355307,,0,0,,0,0,0,0,2023-04-24 16:55:07,1970-01-01 00:00:00,
8535,80,23,1682355310,,0,0,,0,0,1,0,2023-04-24 16:55:10,1970-01-01 00:00:00,
8548,80,23,1682355358,,0,1682355363,500.000,0,0,2,0,2023-04-24 16:55:58,2023-04-24 16:56:03,5.0
8550,80,48,1682355371,,0,1682355383,500.000,0,0,8,0,2023-04-24 16:56:11,2023-04-24 16:56:23,5.0
8554,80,35,1682355393,,0,0,,0,0,0,0,2023-04-24 16:56:33,1970-01-01 00:00:00,
8556,80,35,1682355400,,0,0,,0,0,0,0,2023-04-24 16:56:40,1970-01-01 00:00:00,
8559,90,51,1682355415,,0,0,,0,0,0,0,2023-04-24 16:56:55,1970-01-01 00:00:00,
8560,79,60,1682355417,,0,0,,0,0,0,0,2023-04-24 16:56:57,1970-01-01 00:00:00,
8562,80,48,1682355423,,0,0,,0,0,10,0,2023-04-24 16:57:03,1970-01-01 00:00:00,
8563,80,23,1682355424,,0,1682355430,500.000,0,0,3,0,2023-04-24 16:57:04,2023-04-24 16:57:10,5.0
8565,79,44,1682355428,,0,0,,0,0,0,0,2023-04-24 16:57:08,1970-01-01 00:00:00,
8566,80,42,1682355438,,0,0,,0,0,0,0,2023-04-24 16:57:18,1970-01-01 00:00:00,
8571,80,42,1682355462,,0,0,,0,0,0,0,2023-04-24 16:57:42,1970-01-01 00:00:00,
8572,80,35,1682355463,,0,0,,0,0,0,0,2023-04-24 16:57:43,1970-01-01 00:00:00,
8573,90,51,1682355472,,0,0,,0,0,0,0,2023-04-24 16:57:52,1970-01-01 00:00:00,
8574,79,38,1682355472,,0,0,,0,0,0,0,2023-04-24 16:57:52,1970-01-01 00:00:00,
8576,79,44,1682355479,,0,0,,0,0,0,0,2023-04-24 16:57:59,1970-01-01 00:00:00,
8577,79,38,1682355482,,0,0,,0,0,0,0,2023-04-24 16:58:02,1970-01-01 00:00:00,
8579,80,35,1682355483,,0,1682355506,500.000,0,0,1,0,2023-04-24 16:58:03,2023-04-24 16:58:26,5.0
8581,80,23,1682355487,,0,1682355549,500.000,0,0,4,0,2023-04-24 16:58:07,2023-04-24 16:59:09,5.0
8582,79,30,1682355489,,0,0,,0,0,0,0,2023-04-24 16:58:09,1970-01-01 00:00:00,
8584,80,48,1682355490,,0,1682355495,500.000,0,0,11,0,2023-04-24 16:58:10,2023-04-24 16:58:15,5.0
8585,90,51,1682355497,,0,0,,0,0,0,0,2023-04-24 16:58:17,1970-01-01 00:00:00,
8586,80,42,1682355500,,0,0,,0,0,0,0,2023-04-24 16:58:20,1970-01-01 00:00:00,
8590,79,30,1682355519,,0,0,,0,0,0,0,2023-04-24 16:58:39,1970-01-01 00:00:00,
8591,79,44,1682355522,,0,0,,0,0,0,0,2023-04-24 16:58:42,1970-01-01 00:00:00,
8594,80,48,1682355532,,0,1682355538,500.000,0,0,12,0,2023-04-24 16:58:52,2023-04-24 16:58:58,5.0
8596,80,34,1682355541,,0,0,,0,0,0,0,2023-04-24 16:59:01,1970-01-01 00:00:00,
8597,80,35,1682355545,,0,1682355549,1.000.000,0,0,2,0,2023-04-24 16:59:05,2023-04-24 16:59:09,10.0
8599,80,42,1682355551,,0,1682355583,500.000,0,0,1,0,2023-04-24 16:59:11,2023-04-24 16:59:43,5.0
8600,79,30,1682355556,,0,0,,0,0,0,0,2023-04-24 16:59:16,1970-01-01 00:00:00,
8602,81,18,1682355572,,0,1682355619,1.000.000,0,0,1,0,2023-04-24 16:59:32,2023-04-24 17:00:19,10.0
8603,79,50,1682355573,,0,0,,0,0,0,0,2023-04-24 16:59:33,1970-01-01 00:00:00,
8604,85,26,1682355578,,0,0,,0,0,0,0,2023-04-24 16:59:38,1970-01-01 00:00:00,
8607,79,44,1682355583,,0,0,,0,0,0,0,2023-04-24 16:59:43,1970-01-01 00:00:00,
8608,80,23,1682355587,,0,0,,0,0,4,0,2023-04-24 16:59:47,1970-01-01 00:00:00,
8609,80,27,1682355588,,0,0,,0,0,0,0,2023-04-24 16:59:48,1970-01-01 00:00:00,
8611,80,48,1682355591,,0,1682355594,1.000.000,0,0,13,0,2023-04-24 16:59:51,2023-04-24 16:59:54,10.0
8612,79,50,1682355601,,0,0,,0,0,0,0,2023-04-24 17:00:01,1970-01-01 00:00:00,
8615,79,30,1682355603,,0,0,,0,0,0,0,2023-04-24 17:00:03,1970-01-01 00:00:00,
8616,79,36,1682355604,,0,0,,0,0,0,0,2023-04-24 17:00:04,1970-01-01 00:00:00,
8617,85,26,1682355615,,0,1682355687,1.000.000,0,0,1,0,2023-04-24 17:00:15,2023-04-24 17:01:27,10.0
8618,79,44,1682355615,,0,0,,0,0,0,0,2023-04-24 17:00:15,1970-01-01 00:00:00,
8619,79,56,1682355619,,0,1682355624,1.000.000,0,0,1,0,2023-04-24 17:00:19,2023-04-24 17:00:24,10.0
8620,80,42,1682355620,,0,1682355632,500.000,0,0,2,0,2023-04-24 17:00:20,2023-04-24 17:00:32,5.0
8621,80,27,1682355621,,0,0,,0,0,0,0,2023-04-24 17:00:21,1970-01-01 00:00:00,
8622,80,23,1682355624,,0,0,,0,0,4,0,2023-04-24 17:00:24,1970-01-01 00:00:00,
8624,79,36,1682355633,,0,0,,0,0,0,0,2023-04-24 17:00:33,1970-01-01 00:00:00,
8626,79,30,1682355640,,0,0,,0,0,0,0,2023-04-24 17:00:40,1970-01-01 00:00:00,
8630,79,50,1682355642,,0,1682355670,333.000,0,0,1,0,2023-04-24 17:00:42,2023-04-24 17:01:10,3.33
8632,79,44,1682355650,,0,0,,0,0,0,0,2023-04-24 17:00:50,1970-01-01 00:00:00,
8633,80,27,1682355657,,0,0,,0,0,0,0,2023-04-24 17:00:57,1970-01-01 00:00:00,
8634,80,23,1682355659,,0,0,,0,0,4,0,2023-04-24 17:00:59,1970-01-01 00:00:00,
8635,79,60,1682355665,,0,1682355711,1.000.000,0,0,1,0,2023-04-24 17:01:05,2023-04-24 17:01:51,10.0
8636,80,42,1682355694,,0,1682355698,1.000.000,0,0,3,0,2023-04-24 17:01:34,2023-04-24 17:01:38,10.0
8637,79,30,1682355696,,0,0,,0,0,0,0,2023-04-24 17:01:36,1970-01-01 00:00:00,
8638,79,36,1682355699,,0,0,,0,0,0,0,2023-04-24 17:01:39,1970-01-01 00:00:00,
8641,79,38,1682355709,,0,0,,0,0,0,0,2023-04-24 17:01:49,1970-01-01 00:00:00,
8643,79,50,1682355715,,0,1682355727,667.000,0,0,2,0,2023-04-24 17:01:55,2023-04-24 17:02:07,6.67
8645,80,23,1682355718,,0,0,,0,0,4,0,2023-04-24 17:01:58,1970-01-01 00:00:00,
8648,79,44,1682355736,,0,1682355755,1.000.000,0,0,1,0,2023-04-24 17:02:16,2023-04-24 17:02:35,10.0
8650,79,30,1682355743,,0,0,,0,0,0,0,2023-04-24 17:02:23,1970-01-01 00:00:00,
8651,80,27,1682355752,,0,0,,0,0,0,0,2023-04-24 17:02:32,1970-01-01 00:00:00,
8653,79,36,1682355754,,0,0,,0,0,0,0,2023-04-24 17:02:34,1970-01-01 00:00:00,
8654,90,51,1682355758,,0,0,,0,0,0,0,2023-04-24 17:02:38,1970-01-01 00:00:00,
8655,80,23,1682355760,,0,1682356265,500.000,0,0,5,0,2023-04-24 17:02:40,2023-04-24 17:11:05,5.0
8656,80,34,1682355761,,0,0,,0,0,0,0,2023-04-24 17:02:41,1970-01-01 00:00:00,
8658,90,51,1682355769,,0,1682355784,1.000.000,0,0,1,0,2023-04-24 17:02:49,2023-04-24 17:03:04,10.0
8660,80,34,1682355777,,0,1682355793,0,0,0,1,0,2023-04-24 17:02:57,2023-04-24 17:03:13,0.0
8661,80,27,1682355779,,0,1682355800,500.000,0,0,1,0,2023-04-24 17:02:59,2023-04-24 17:03:20,5.0
8662,81,42,1682355780,,0,0,,0,0,0,0,2023-04-24 17:03:00,1970-01-01 00:00:00,
8665,79,36,1682355789,,0,0,,0,0,0,0,2023-04-24 17:03:09,1970-01-01 00:00:00,
8668,79,50,1682355805,,0,1682355816,667.000,0,0,3,0,2023-04-24 17:03:25,2023-04-24 17:03:36,6.67
8670,81,37,1682355817,,0,0,,0,0,0,0,2023-04-24 17:03:37,1970-01-01 00:00:00,
8672,79,30,1682355830,,0,0,,0,0,0,0,2023-04-24 17:03:50,1970-01-01 00:00:00,
8673,81,37,1682355835,,0,0,,0,0,0,0,2023-04-24 17:03:55,1970-01-01 00:00:00,
8674,80,27,1682355835,,0,1682355841,0,0,0,2,0,2023-04-24 17:03:55,2023-04-24 17:04:01,0.0
8676,79,36,1682355841,,0,1682355848,667.000,0,0,1,0,2023-04-24 17:04:01,2023-04-24 17:04:08,6.67
8679,79,30,1682355850,,0,0,,0,0,0,0,2023-04-24 17:04:10,1970-01-01 00:00:00,
8681,82,18,1682355854,,0,0,,0,0,0,0,2023-04-24 17:04:14,1970-01-01 00:00:00,
8682,82,18,1682355867,,0,1682355898,1.000.000,0,0,1,0,2023-04-24 17:04:27,2023-04-24 17:04:58,10.0
8683,81,35,1682355880,,0,0,,0,0,0,0,2023-04-24 17:04:40,1970-01-01 00:00:00,
8684,80,27,1682355883,,0,0,,0,0,3,0,2023-04-24 17:04:43,1970-01-01 00:00:00,
8687,79,50,1682355891,,0,1682355896,1.000.000,0,0,4,0,2023-04-24 17:04:51,2023-04-24 17:04:56,10.0
8688,81,37,1682355904,,0,1682355928,0,0,0,1,0,2023-04-24 17:05:04,2023-04-24 17:05:28,0.0
8689,79,30,1682355905,,0,0,,0,0,0,0,2023-04-24 17:05:05,1970-01-01 00:00:00,
8693,82,41,1682355915,,0,0,,0,0,0,0,2023-04-24 17:05:15,1970-01-01 00:00:00,
8696,79,36,1682355920,,0,1682355947,667.000,0,0,2,0,2023-04-24 17:05:20,2023-04-24 17:05:47,6.67
8701,82,41,1682355934,,0,1682355948,1.000.000,0,0,1,0,2023-04-24 17:05:34,2023-04-24 17:05:48,10.0
8702,80,34,1682355936,,0,1682355953,0,0,0,2,0,2023-04-24 17:05:36,2023-04-24 17:05:53,0.0
8705,81,35,1682355946,,0,1682355950,0,0,0,1,0,2023-04-24 17:05:46,2023-04-24 17:05:50,0.0
8708,81,48,1682355953,,0,1682355958,500.000,0,0,1,0,2023-04-24 17:05:53,2023-04-24 17:05:58,5.0
8709,80,27,1682355993,,0,1682356000,500.000,0,0,4,0,2023-04-24 17:06:33,2023-04-24 17:06:40,5.0
8710,79,36,1682355993,,0,1682356000,1.000.000,0,0,3,0,2023-04-24 17:06:33,2023-04-24 17:06:40,10.0
8713,81,35,1682355994,,0,0,,0,0,1,0,2023-04-24 17:06:34,1970-01-01 00:00:00,
8715,86,26,1682355994,,0,0,,0,0,0,0,2023-04-24 17:06:34,1970-01-01 00:00:00,
8716,79,38,1682355994,,0,0,,0,0,0,0,2023-04-24 17:06:34,1970-01-01 00:00:00,
8719,79,38,1682356009,,0,0,,0,0,0,0,2023-04-24 17:06:49,1970-01-01 00:00:00,
8720,81,48,1682356009,,0,0,,0,0,1,0,2023-04-24 17:06:49,1970-01-01 00:00:00,
8723,81,37,1682356022,,0,1682356029,0,0,0,2,0,2023-04-24 17:07:02,2023-04-24 17:07:09,0.0
8725,81,42,1682356030,,0,0,,0,0,0,0,2023-04-24 17:07:10,1970-01-01 00:00:00,
8726,79,30,1682356033,,0,0,,0,0,0,0,2023-04-24 17:07:13,1970-01-01 00:00:00,
